ITEM|DESCR|ITEMCLASS|U_UOM|U_LONG_DESCR|U_STATUS|U_MAT_TYPE_CD|U_PROCESS_NM|U_PROCESSNODEUPPERCASE_TXT|U_PRODUCTNBR|U_CAPACITY_GROUP|U_CAPACITY_CORRIDOR|U_PS_DOT_PROCESS|U_MM_CODE_NAME|U_ITEM_LVL1|ITEMLOCOPPARAM|U_VERTICAL_SEGMENT|U_MARKET_CODE_NAME|U_MFG_PKG_TECHNOLOGY|U_DIE_CODE_NAME|U_PRIMARY_SI_CODE_NAME|U_PRODUCT_LINE|U_DLCP_PROCESS_CODE|U_INTERNAL_STEPPING|U_INTERNAL_REVISION|U_MFG_DEVICE_NAME|U_PERFORMANCE_GRADE_CODE|U_SPEC_SEQUENTIAL_NUMBER|U_MFG_STAGE|U_FUNCTIONAL_DESIGN_NAME|U_PLANMODULE
2000-309-414|DIE PREP EMBEDDED BRIDGE|F_DIE_PREP|DIE|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-EMIB|INTEL EMIB2.0-1|1226|LAVA BRIDGE-12|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-309-415|FAB EMBEDDED BRIDGE|F_FAB|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-EMIB|INTEL EMIB2.0-1|1226|LAVA BRIDGE-12|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-309-416|SORT EMBEDDED BRIDGE|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-EMIB|INTEL EMIB2.0-1|1226|LAVA BRIDGE-12|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|WAFERSORT|NONE|BY_IF
2000-309-877|DIE PREP INTEGRATED PASSIVE DEVICE|F_DIE_PREP|DIE|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N013.2|CAYMAN POINT-IPD|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-309-879|SORT INTEGRATED PASSIVE DEVICE|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|EXTERNAL|EXTERNAL|1001N013.2|CAYMAN POINT-IPD|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|WAFERSORT|NONE|BY_IF
2000-311-262|ASSEMBLY Central Processor Unit|F_ASSEMBLY|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|LUNAR LAKE-BASE-M442|||NONE|NONE|NONE|NONE|NONE|NONE|UH|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-313-096|BUMP FOVEROS|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|NONE|CAYMAN POINT|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-314-191|FAB FOVEROS|F_FAB|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-314-192|SORT FOVEROS|F_SORT|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|WAFERSORT|NONE|BY_IF
2000-314-196|BUMP FOVEROS|F_DIE_PREP|DIE|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-314-348|STACK COMBO STACKED|F_STACK_COMBO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-314-350|STACK SILICON STACKED|F_STACK_SILICON|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|||NONE|NONE|NONE|NONE|NONE|NONE|UL|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-322-142|ASSEMBLY Central Processor Unit|F_ASSEMBLY|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2000-322-146|TEST Central Processor Unit|F_TEST|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|TEST|NONE|BY_IF
2001-000-001|Processor S TRAY|F_FINISH|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|RVE3|NONE|NONE|BY_IF
2001-000-002|BUMP FOVEROS|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-1227|INTEL FOV-1|1227.1|CAYMAN POINT-BASE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2001-000-003|BUMP INTEGRATED PASSIVE DEVICE|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|NONE|BUMP|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2001-000-004|BUMP EMBEDDED BRIDGE|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|CG-EMIB|INTEL EMIB2.0-1|1226|LAVA BRIDGE-12|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2001-001-001|Processor 288V S TRAY|F_FINISH|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|NONE|LUNAR LAKE-BASE-M442|ALL_PRODUCTS|IF_OP|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|RPMS|NONE|NONE|BY_IF
2001-001-002|BUMP FOVEROS|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|NONE|LUNAR LAKE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
2001-001-003|BUMP FOVEROS|F_BUMP|WAF|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|NONE|LUNAR LAKE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
821-3110-59|WAFER,SILICON,SSP,Test,300MM,P-TYPE|SILICON_WAFER|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|SILICON_WAFER|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
823-1005-81|WAFER,SILICON,SSP,Test,300MM,P-TYPE|SILICON_WAFER|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|SILICON_WAFER|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
823-3030-08|WAFER,SILICON,SSP,Test,300MM,P-TYPE|SILICON_WAFER|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|SILICON_WAFER|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
823-3072-20|WAFER,SILICON,SSP,Test,300MM,P-TYPE|SILICON_WAFER|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|SILICON_WAFER|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
823-3072-21|WAFER,SILICON,SSP,Test,300MM,P-TYPE|SILICON_WAFER|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|SILICON_WAFER|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
823-3074-82|WAFER,SILICON,SSP,Test,300MM,P-TYPE|SILICON_WAFER|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|SILICON_WAFER|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
N55628-004|SUBSTRATE,FCBGA18,CAYMNPNTRE72|SUB_CORE|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|SUBSTRATE|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
A95538-012|CAPACITOR,CER,X6T,0201,1UF,2.5V,+/- 20%,|CERAMIC_CAP|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|CERAMIC_CAP|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
N41399-001|CAPS,LOW-L,05035,22.000uF,2.500V,+/- 20>|SPECIALITY-CAP|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|SPECIALITY-CAP|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
N44236-002|THERMAL PLATE,STIF,METAL,NI,N,CU,86.5MM>|THERMAL-PLATES|ST|NONE|PRODUCTION|ROH|NONE|NONE|NONE|NONE|NONE|NONE|THERMAL-PLATES|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
N51852-001|N/A,PSEUDO,MATL,CHIP ATTACH,IFS,CAYMEN >|SPR-OPT-PSEUDO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|NONE|SPR-OPT-PSEUDO|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
N54418-001|N/A,PSEUDO,COLLAT,PCG S131,|SPR-OPT-PSEUDO|ST|NONE|PRODUCTION|HALB|NONE|NONE|NONE|NONE|NONE|NONE|SPR-OPT-PSEUDO|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
DUMMY_IHS|Dummy Item for HIS|DUMMY|ST|NONE|PRODUCTION|DUMMY|NONE|NONE|NONE|NONE|NONE|NONE|DUMMY_IHS|||NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|NONE|BY_IF
